*propname*'s?,,,
"well, it finally happened: i bought a coffee so big it didn't fit in my microwave for re-heating. (sub-status update: go to bing.com for some major boston pride ;-)",,,
rediscovered how fun it is to play in 36 inches of snow :),,,
is looking for her face again (where is that camera cord?!).,,,
motley crue january 23!!!!!!!!!!!!!!,,,
is tired.,,,
"is in hawaii, yay!",,,
four long islands in 30 nmin = happy,,,
"was right. :) today was pretty much fantastic, all around.",,,
is packing.,,,
"soooo frickin' psyched for atlanta.  getting the fuck outta li, seeing my superawesome folks, finally getting some proper southern food, and maybe even checking out decatur nightlife & williams street...the word of the day is ""yaaayyyyy!""",,,
"i always make it a rule to let the other fellow fire first.  if a man wants to fight, i argue the question with him and try to show him how foolish it would be.  if he can't be dissuaded, why then the fun begins but i always let him have first crack.  then when i fire, you see, i have the verdict of self-defence on my side.  i know that he is pretty certain in his hurry, to miss.  i never do.",,,
"can someone download the latest version of the anchorfree hotspotshield for me? i can't download this stuff in china, it seems to be impossible and start to annoy me. pleeeeeeeeeeeeeease. xxx all the love !!!  *propname*",,,
"work, then to the lib with alex all night",,,
is dreaming big.,,,
"musta been, i dunno, sleep-spelunking or somethin last night-cos i woke up with a fucked up knee. i'ma try to rest this wkend & rid myself of the mysterious plague of atlanta that drained me all week; wish there was a cure for excessive nihilism, though. *makes face*",,,
should probably stop her habit of late night crocheting.,,,
im in college yet im onb facebook - oh medias great :d,,,
needs to stop consumption of harmful substances ... but can't d:,,,
is slightly going mad...,,,
start my new life on monday.,,,
one month without a cigarette!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,
dobré ráno,,,
"has chourico!  the tastiest, most delicious meat known to mankind!  and i'm going to eat the crap out of it!",,,
"hehe 'what i'm listening to' is kinda working on my wall, 2 bad its a lil slow at updating :p",,,
3 days!!!!!!!!!!!!!,,,
"wonders why more people don't say ""twenty ten""",,,
"back home from an evening of ""enlightened debauchery"" and no walt whitman in sight. there was this one guy from ny saying something about leaves of grass....",,,
one minute at a time,,,
soooo busy at work!!!!,,,
made spicy coconut soup mmm,,,
"i'm not the greatest; i'm the double greatest. not only do i knock 'em out, i pick the round.",,,
made mochi and red bean,,,
"working 9:15 to close, then who knows",,,
"the turkey is now officially drunk (injected with enough alcohol that if we didn't eat it, it'd be at aa). rubbed with secret spices, drizzled in bacon, and the silverside joint is slowly cooking for 7 hours. 15 minute break then  back to cooking :d",,,
is stoked about this weekend. marble canyons: here we come!,,,
just realised he missed the aerial class start :| thought it was next week it started doh!,,,
wants to do something so damnit that's what i'll do!.............busy doing something now.................,,,
"nîn o chithaeglir, lasto beth daer; rimmo nîn bruinen dan in ulaer.",,,
just got home from shopping for our apartment with *propname*i bought 600 thread count sheets and they feel like butter! ooooohhhhhh luxury sleep here i come :o),,,
"i always want the blog to be the magical valve. turn it on, write, be healed. it never is though. and now i still hurt, i just feel more raw now. as long as i stay with the emotion and don't deny...i'll be alright.",,,
shot the moon!,,,
is waging a vendetta against ucsb parking services!,,,
so happy i'm not clopening this weekend,,,
is off to bed and hoping not to be woken up by things flapping and crashing from the crazy wind outside. on the up side it's going to be in the 60-70 range for the next week!:),,,
"sunday wasn't quite as awesome, but it was still a good day :p",,,
"spartan spooktacular, 8pm kickoff against the gofers, and then halloween!!!",,,
"to sleep: perchance to dream: ay, there's the rub;",,,
"steelers, steelers, steelers!",,,
woop! booze haul...,,,
heading home in a minute then off to look at bikes for bee's birthday in the morning!,,,
football and basketball at center court?,,,
swim then sauna...that's what i call cross training,,,
is settling down for the end of an amazing summer.,,,
mmmmm!!!!! nutella on a spoon!,,,
hump day!,,,
"is excited about her first day at her new job as a college graduate! this is gonna be a fabulous day! this is the day that the lord hath made, let us rejoice and be glad in it!",,,
"feeling like crap, no temperature though so at least its not swine flu (at least i think its not!)",,,
"okay, i'm no good at positivity right now. that's my work ""hat"". so sue me.",,,
feels aweful right now. why do you get sick like this on weekends only... i better not have to use a sick day tomorrow or i will be pissed.,,,
is celebrating her second year single anniversaryor personal-independence day for me :op,,,
"is kinda glad my front brake is now functional, otherwise i would likely have been squashed by a little yellow car today.",,,
"is studying, doing laundry, studying, going shopping, studying, and cooking for *propname* tonight!  yippee!",,,
made my bombay elvis cupcakes(chocolate curry and banana cupcakes with peanut butter frosting) and chocolate bacon cupcakes,,,
co-op in the afternoon! many lazy mornings to come..! :d,,,
went to riot fest this weekend with *propname*!,,,
cant wait till *propname*'s party this sat :),,,
"stability means we run it. there are countries that are very stable. cuba is stable, but thats not called stability.",,,
my most awesome friend just surprise-attacked me with a present of a dark chocolate bacon bar...drool. best. moment. ever.,,,
should be studying but is being naughty! tisk tisk! lol,,,
"if an infinite number of rednecks riding in an infinite number of pickup trucks fire an infinite number of shotgun rounds at an infinite number of highway signs, they will eventually produce all the world's great literary works in braille",,,
i went to bed at midnight last night and woke up at 5:30pm. whoa.,,,
"can't lie. he misses gainesville, everyone in it and can't wait to get back.",,,
is feeling it. >.>,,,
another lonely night with nothing to hold on to but memories of better days...,,,
ambrosia artemisiifolia why are you so cruel?,,,
"""flight attendants cross check and prepare for landing."" ""welcome to tampa, flordia where the local time is 3:50 pm and a comfortable 68 degrees.""",,,
"i find i'm enjoying tiny poetry.  such as: rain- my ears hear a drip, drop, splash it's more of a scream, laugh, live and you make it so hard not to be cliche. you pile on my dreams,  like power lines on a sky. is it raining where you are ?",,,
is listening to mice play and chat in her ceiling! ://,,,
it's really cold out,,,
"thank you, lord, for today :) the day that three  years ago you let me start to make mine the most amazing woman ever! :) i love you *propname* :)",,,
is not ready for monday.,,,
having some me time for the 1st time in a long long time!,,,
is delaware-bound in just a few hours!,,,
[13 hours in vcpa today... it's going to be a long day..!],,,
"just got the best internship ever!!!!!!!!!!!!!!! :d i'll be spending 5 weeks this summer shadowing and learning from zoo vets at the seneca zoo in rochester, ny!!!!! :d",,,
yaaaaaaaaaaaaaaaaaaaaay snooooooooooooooow!,,,
2-3 times overhead with occasional 18 ft.and fair to good conditions.,,,
where are you now?,,,
just like i called it. *propname* put up zeros across the board today.,,,
is thinking of possibly doing something interesting tonight depending on whatever it might be,,,
"don't worry about the people in your past, there's a reason they didn't make it to your future.",,,
let's go cowboys!,,,
is stepping back into the urban comedy experience this wednesday.  downtown stand up!,,,
is one iteration closer to his desired solution.,,,
back,,,
totally no mood to do anything... stupid smoker that used my admin number... spoil my day only... =(,,,
seems to have acquired a mad swank bike.,,,
wants to go home!!!,,,
is watching kid's cartoons and wishing she weren't so old.,,,
next term i'll have a lab and get to do science every day. until then i have a cube and get to do homework every day.,,,
thinks it is very cold to go out in shorts and t-shirt but is going running anyway!,,,
why would anyone want to screw over the undertaker?,,,
scouty is going to the doctor...,,,
goin' out tonight!  xd,,,
"is home, but can't relax yet...i swear i'm more busy now than when i was working",,,
"i can't wait until my custom-designed flip mino camcorder with the pink butterflies on it gets here!! friends, prepare to be filmed...i'll be going crazy with this thing",,,
is putting the touches on his halloween costume.,,,
was unexpectedly mesmerized by how beautiful pennsylvania is today.,,,
if you take any part in disturbing my nap i will probably end your life. you've been warned.,,,
is getting a cold...,,,
leaving manitoba wednesday morning... not looking forward to it! :(,,,
"going my brothers paper route again, french class, work 3:30 to close and then home where i plan to collapse.",,,
gi jooooooooooooooooooooooooooooooooooooooe!,,,
"is wondering what the fuck x-factor is coming to. i mean, *propname* beating *propname*? what is this crap",,,
naps suck. someone shoulda woke me dammit!,,,
man i'm not gonna end up finishing my portfolio website over break am i,,,
"would like to meet the man who thought that 8am was an acceptable time to start a meeting on saturday.  (by meet, i mean shank).",,,
"has made plans to soak gummy beas in vodka, so they swell up.",,,
lazy holidays,,,
"well everyone i know has got a reason to say, you could put the past away",,,
is tea at lunch and pumpkin bread muffins after school.,,,
º¤ø¸ø¤keep the australia day wave goingº°¨¨°º¤ø ¸ø¤º°¨¨°º¤ø ¸ º¤ø¸ø¤keep the australia day wave goingº°¨¨°º¤ø ¸ø¤º°¨¨°º¤ø ¸ º¤ø¸ø¤keep the australia day wave goingº°¨¨°º¤ø ¸ø¤º°¨¨°º¤ø ¸pass it on º¤ø,,,
the love of my life: repeat 800s on a sunny day.,,,
writing a personal statement for graduate school...,,,
kiss. kiss. lick. <3,,,
i've got yellow fever! :p,,,
great weekend so far: friday enjoyed meeting wonderful ppl i had not seen for a long time.. yest night wonderful time in malta.. now realllyyyy looking forward to later on today :) (will get working to finish work asap & enjoy my sunday afterwards),,,
"just saw thirst. it was dark when i got out, and i was by myself, so i jogged part of the way home. hell if i know why...scary wouldn't really be the word for that movie i don't think...",,,
"hope you are all having a great weekend, am working but all good :-)",,,
wonders if people read his profile.,,,
*propname* is flying into chicago tonight...i will miss that guy!,,,
saw old dogs...the things i do for my parents.,,,
s.t.e.e.l.e.r.s.,,,
damnit ducks!!! win something!!!,,,
you know you're in love when you can't fall asleep because reality is finally better than your dreams. *propname*,,,
"also, happy xxrd birthday to my mama!",,,
just had a wonderful chat with *propname* on the phone and is about to start making dinner:),,,
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",,,
wow glow sticks r soo funky!!!!!,,,
woohoo:) is secretly cleared:),,,
"awesome party. and yes, it exceeded my expectations.  ;d",,,
an existence of polemic bad ideas can cause considerable damage to society.,,,
"ugh...in a class with mostly 18 year olds, cursing myself for not taking com 1 my freshman year when i could've copied off of someone! damn it...lol",,,
"i hate to say this, but *propname* tonight is actually pretty good...having a hard time chosing between that and *propname* lately...",,,
learned booze + high heels = bad idea,,,
tear :`( really?...,,,
can't wait to see what lectures come out of ted2010 !!,,,
just got the oral typhoid vaccine and wonders how many people actually read the informational sheet provided.  i think their references are a little outdated.,,,
tonight! nbc at 8 pm! the sing-off is on and i am freakin excited!,,,
after a slight rebuild... betsy 2.0 lives to surf the net again!!,,,
does not know anything about the destruction of any rvs outside of las vegas in the desert.,,,
"i thought the kindle was a stupid idea, but the ipad...wow, this is the future of personal computing, a segue into minority report-like ""surface computing"". way to stay ahead of the curve, apple.",,,
i've had better...,,,
headed to bed with my centipede.,,,
sudo reboot,,,
was disappointed that *propname* was not in the victoria's secret fashion show...girl is my favorite :(,,,
mended a giant american flag today and it felt good.,,,
do it for *propname*...,,,
la novia de chucky...lol,,,
"read *propname*'s ""check raising the devil"" in one sitting and enjoyed it.  an honest look into his life, and glimpse into the sometimes fun and sometimes dark side of vegas & gambling.  also watching ""the universe"" dvd set still... it's amazing.  if you lik",,,
is making things happen!,,,
"when the student is ready, the teacher will appear. ... buddhist proverb",,,
wow... mass effect 2 just arrived.  //life,,,
"""beer bong for my lady?"" what gentleman are on the wisconsin river",,,
"i am soooo good, but still depressed. tinu.od jud .di nga pointless ang pag lunod sa imo sorrows kai kahibaw ghapn siya mu langoy. :c quote: i wish i was a kid again, because skinned knees are easier to fix then broken hearts.",,,
caved.,,,
happy father's day to all you dads,,,
argh y does everything need qualifications n not experience :(,,,
"while we might get two, the west coast will get 6 to 9, and my jealousy of lake effect snows grows ever greater.",,,
wants to go to paris. anyone care to accompany me?,,,
"and he said, ""let there be tacos!"" and there was.",,,
"thank you to everyone that was able to come out for my birthday dinner, and i sincerely appologize to the guys that thought that tapas bar was topless bar...",,,
"just read the mark hughes interview in the mirror, unbelieveable ego to have after 6 games, puts mourinho in the shade",,,
"s landlord brought someone to do work on my apartment and he totally recognized my place from tv...lol, i guess that's more of my 15 minutes...<3",,,
headache,,,
is waiting on the lord this morning,,,
"had about 15 billion dreams last night and remembers all of them. nice work, hippocampus :)",,,
"is wishing a happy birthday to my bestie *propname*! ""i love you honey, and i hope you have a wonderful 22nd birthday!""",,,
2nd week without a cellphone... its like being back in the 90s.,,,
the best day is always today!,,,
just made it to the hotel,,,
can't wait to live at the lake!!! :d,,,
olive garden tonight =]],,,
"really, usmle world? you really want me to know which growth factor receptors have intrinsic tyrosine kinase activity, and which ones need jak//stat for signal transduction? i poop on you.",,,
87 pets on ffs... lol...,,,
"looks forward to seeing your beautiful (moustachioed) faces tonight: artzone 461 -> 500 club -> ???, !!!",,,
just trying to play 1 round of golf before this summer is over!!,,,
slept from 11pm to 7am! it's a christmas miracle!,,,
drank too much iced tea before bed.,,,
getting ready to stalk taylor marsh...any hints would be helpful! lol,,,
1. kea: a) one who has an excessive amount of cool b) a verb showing that someone is doing something sick c) a person filled with self-loathing for actually following this fb fad,,,
is on the prowl.,,,
will work out at least 3 times a week !!!,,,
@_@ turkeyday for me = a bunch of republicans coming together eating a huge feast and obama bashing....its disgusting!,,,
"believes that life is like the open sea, and truth is the wind in our sails. (no wonder i'm not moving)",,,
its way to early on a saturday to be heading to work...,,,
played much d&d. muahaha.,,,
is teaching troop leadership training today.,,,
"out of my mind with fustration and fatigue.  oh, the life of a college student!",,,
is going to see *propname*..wooo...is going to see *propname*...wooo! so psyched!!!!,,,
cody's car is ghey.,,,
just washed a paper plate so that he could use it for something else. it would have been easier to just grab a new one right next to him.,,,
the spice exists in all of us,,,
sick as a dog and hoping it doesn't snow too much.,,,
"""no more than 5 pages"" is my new favorite phrase! :)",,,
"just thought that you would know you're a god, and she is not.",,,
wants a nap.,,,
guess i might start using facebook more then...so much info to port over.,,,
is amazed out how more effective individual updates are at getting rid of his possessions than a single photo album. only two more pieces of furniture to go!,,,
"check your time boy, check your time",,,
"now i kinda wish it was snowing...just for over night, then after i am able to enjoy it over a cup of coffee then it can vanish!",,,
pineapple,,,
is happy for the new year and is excited for all the wonderful things that are here now and are in the future :) xoxo,,,
j-e-t-s! jets! jets! jets!,,,
"watched the president's speech yesterday.  wow, i'm sooo indoctrinated!  [//sarcasm]  stupid radical jerks...",,,
finally using facebook n_n feels strange.,,,
"no one should die because they cannot afford health care, and no one should go broke because they get sick. if you agree, please post this as your status for the rest of the day.",,,
"*propname* and *propname*'s wedding went great! i'm so happy for them!!!   wish i had my sd card earlier so i could have taken more pics...  now, in richmond and back to the real world... missin' my darlin'...",,,
waiting for my new phone to come in this week. =]] sooo excited,,,
"goals for the next 11 months: (1) rock the fuck out of the lsat (2) run under 3 in the marathon (3) get into a baller law school (4) buy a bmw z4 (5) laos, vietnam, cambodia anyone???",,,
fear and panic in the air,,,
"""if it's true, if i am indeed addicted to sadness, i absolve myself of blame. responsibility rests firmly with my brain. it is a flawed design. worse than the 1975 ford pinto and just as dangerous.""",,,
"is amazing of course, and the apples to apples champion.",,,
not yet - going to movies tonight...,,,
"everyone is trying to accomplish something big, not realizing that life is made up of little things",,,
love is like cherry pie,,,
"merry christmas, everyone!",,,
is done with art and has nothing special going on anymore. ):.,,,
last day of school until the new year!! (3 days!),,,
why did the dog have to eat the most expensive jacket i have,,,
i'm melting,,,
itunes is soooo bad! im going broke.,,,
just to be clear: life is just a bowl of rainier cherries.  :d,,,
had a fantabulous week and would like thank all his sj friends for making that happen. it was great to see all of you. :d,,,
my new phone comes today =]] and i scored a c on my first quiz. yayy =]],,,
everyone has their own anodyne,,,
hey does anyone remember tiny toons? that definatly has to be 1 of the best cartoons ever!!!!!!! im watchin it now on youtube. ahh the 90's.,,,
one.,,,
"i used to have a boyfriend with a wooden leg, but i broke it off.",,,
"is about to fall out of her bed, out of her clothes, and into the niiiiiiiiiight kitchen.",,,
is back from alaska!,,,
working on a few art projects ,d ideas//inspirations//dreams are welcomed! ...,,
school til 7:30 then home to see *propname*,,,
"stayed up to finish the kite runner last night, probably around four in the morning.  i'm not sure because i don't have a clock up there! lol",,,
2.5!,,,
get a job sparkling wiggles...,,,
"can't breathe out of either one of my ""noses"" (as my sister used to call them)",,,
i hate christmas music,,,
gotta assume your responsibility and move forward.. get going!,,,
"flight delayed 2 hrs , but orlando intl airport has free wireless!",,,
how does that kind of fallen even happen that quickly?,,,
free shelves!!!!!,,,
"bed, bed, bed, work tomorrow.",,,
"not tired, must sleep. long week ahead, and no weekend. friday is no longer a day off. sore all over, but i asked for it. cig, loveline, sleep...smile, love, remember.",,,
"- ""merry christmas, my friends and family! i wish you a wonderful, love filled day... and a year of lovely blessings!""",,,
i'm in whitehorse for 6 weeks,,,
friday yet??,,,
"back in norway, having successfully avoided being sold into sex slavery.",,,
is listening to chinese metal out of curiosity. it is interesting.,,,
it's 2am.....why am i not sleeping?????,,,
one month!!,,,
nothing like falling asleep for an hour then waking up and being wide awake. stupid body,,,
bout to go to sleep. goodnight for tonight. yoooo that just rhymed,,,
is going to get off her bum and go running sometime in the next 5 minutes...i promise!,,,
is wondering if anyone from the burbs is going down to u of i this weekend? party before the youngins start class?,,,
soy feliz :d,,,
there is no rest for the whiny.,,,
"hm, low-signal internet? works for me.",,,
...98.1 golden oldies ,),,
enjoying the lovely golden weekend!,,,
when will i stop spilling liquids?,,,
also just got back from seeing the chief dance.,,,
"donkeys... idk why, they just popped into my head! (he says whilst looking at the donkey game he was ment to send to his world vision kid) woops.",,,
facebook is very hard to navigate with everything written like a pirate. i'll just have to adjust :),,,
free style,,,
"is watching cousin play computer game on televison box thing. also, sleepy.",,,
puppy training classes then uga football weee,,,
"kansas city chiefs over pittsburgh steelers, 27-24.  disgrace.",,,
is excited for nbc thursdays- especially excited for community,,,
found out that jolly pirate donuts near her house in wv was the one shown on that smoking gun episode!  awesome! ^^,,,
loves friends that help clean up the party. and has pretty great friends in general.,,,
was not aware of the streaming video at the eca meeting last night....,,,
"is still practically deaf in my right ear after two weeks... getting old, i say. unpleasant.",,,
"doing nerdy stuff in my room...reading gentry magazine, organizing//cleaning things...tgisaturday ?",,,
fucking *propname*.,,,
just keep the ball rolling,,,
"(breast cancer awareness question - what colour bra are you wearing ?) no colour. i'm not a fan of bras lately. but this is a stupid fb idea. it doesn't really raise awareness unless you also say what the hell it's about !  stupid, stupid.",,,
out and about:),,,
"two weddings, one baby shower and a great church service on sunday! a weekend full of love and encouragement and i know the best is yet to come! ""all things work together for the good to them that love god, for them who are the called according to his purpose.""",,,
it's a dk kind of day. *nod*,,,
"my personality spans, too numerous  a gentleman, intelligent, athletic, a thug and i'm humorous",,,
casino night was awesome.  i won a snuggie!!!!!!!  lmao,,,
"merry christmas eve! being a good girl today, going to the gym and then church! ?",,,
is somewhat on hiatus from facebook for a while...may check it occasionally...*shrug*,,,
is having a hard time living with no phone :o( come on dal hook me up already!!! (work until 6pm...facebook is the best way to contact me right now),,,
aquarium date night?  ooh la la,,,
is out of cinnamon toast crunch =[,,,
happiness comes only by sharing - napoleon hill... & starting holidays helps as well i guess ,),,
"well, lived through the carbon monoxide shit, though it made me sick today--luckily not sick enough to go to the damn hospital i guess; just sick enough to be puking and bedridden today. good thing i had the day off anyway for mlk day (but my dad didn't tell me that, so i woke up ill and panicky this afternoon--nice, lol). furnace was fixed today, though, so no more cm troubles, i suppose!",,,
is regaining her colors and fitting into her skin again :d,,,
was quite productive today :) time for irish car bombs.,,,
@ m level 4 photo studio now...,,,
toast n_n *purrs*,,,
90s music is//was the shit!,,,
oscilando entre la infinidad de la mente y la infinidad del sueño...,,,
"""life is miraculous; even when it's disastrous, it's still incredible. i'm fascinated with everything; life is fascinating. i'm fascinated by trees and dogs, but no one wants to hear me talk about it."" -*propname*",,,
"chillin out to some ""counting crows""...",,,
it is the characteristic excellence of the strong man that he can bring momentous issues to the fore and make a decision about them. the weak are always forced to decide between alternatives they have not chosen themselves.,,,
"""we operate by consensus."" ""what if the americans object?"" ""we don't operate.""",,,
is getting married in a little over a month,,,
"...heading to the gym with *propname*, *propname* and my sista!!",,,
hey friends! did anyone leave a fake (but extremely real looking) gun in my car?,,,
"sad day....jeanne claude, wife of christo passed yesterday.  met them a couple of years ago in their soho studio...two of the most passionate artists i've ever had the pleasure meeting.",,,
"""only two things are infinite, the universe and human stupidity, and i'm not sure about the former."" -einstein",,,
got past the biggest hurdle...the trip is on!,,,
failing....the next best thing to succeeding.,,,
i've lived in this place and i know all the faces each one is different but they're always the same they mean me no harm but it's time that i face it they'll never allow me to change',,,
snow!!!,,,
"colloquia with lunch, research stuff, and then home to clean my room",,,
...wow...,,,
on my way to get my license! don't have a car yet though...lol,,,
is hangin' with *propname*.,,,
i don't get some people...you offer to help them- they are lazy and don't bother to send their shit... months later when its too damn late they ask you to help them.. wtf,,,
working from 7am til 3pm then who knows what i'll be doing,,,
"coffee, memo-writing//editing, and grey's//private practice...",,,
black!  p.s. dc tomorrow!,,,
"i got the prettiest wedding dress in the whole wide world!  was browsing through the racks and turns out the first dress i came to that caught my attention was the one i had picked out online and been looking at ever since last june!  tried a bunch on, but ended up with that one.  :)  how exciting!",,,
has gotta tell you what a state she's in...,,,
has a brilliant plan: vodka pie!,,,
mexico city legalized gay marriage and adoptions! =),,,
had a great time seeing everyone at ocb today!,,,
"has burnt her finger. it really hurts, as well.",,,
plans to sit on the couch watching movies all day.,,,
"spending the next few hours reading about language arts framework, consonant digraphs and vowel diphthongs...yay...psych!! :(",,,
@work until 1:00pm them home to write a paper and study for my first exam!! (too busy for life and facebook this week),,,
it's amazing how easily you can find aunties that speak both malay & chinese but not english...,,,
"<3's all the lovely, positive people in my life",,,
never appreciated how good a dancer *propname* was until the recent marathons of dirty dancing. kudos where kudos are due.,,,
i don't know that i can express how much i love my coworkers :)  one of my best birthdays ever.  i even did a shot :),,,
parent's evening + bomb scare = mucho chaos.,,,
pa><dol x 2,,,
"just home fa night shift, am away to bed. hgave a good day x",,,
"if one can stick to the training throughout the many long years, then will power is no longer a problem. it's raining? that doesn't matter. i am tired? that's besides the point. it's simply that i just have to",,,
is glad to be.,,,
"spent all weekend looking for flats but ended up buying three pairs of hot looking heels...i really, really tried this time :(",,,
"cleveland celebrating birthdays with the king, new years in the 'burg, cruisin' the caribbean....gonna be a nice little weekend!",,,
"getting out of the house, yay!  going with 'anon' (lol) to eat curry and hang out with folks or someodd.  man, anywhere's better than being stuck at my stupid apartment!",,,
ugh! in rough shape,,,
is thinking she should  have done the six year plan...,,,
"fucking carbon monoxide alarm's going off repeatedly again tonight! opened the windows & garage doors; i have nowhere else i can go & i need sleep, so i'm gonna hafta just hope the ventilation is enough cos i don't know what else to do. hope i don't end up in the hospital over this shit--i'm sick of the damn hospital! (well...bein' dead would [debatably] suck too. but i wouldn't be self-aware to know about it, lol.)",,,
only robinson crusoe had everything done by friday.  ~author unknown,,,
don't be tardy for the party! lol,,,
"can't wait for today to be over! then i'll have an application mailed, and be off to texas!! :)",,,
"i would give my left ear to be able to watch the big ten network i ordered, thanks for ruinung my game day comcast...",,,
waiting for vacation time to roll around.....,,,
is gonna miss *propname*'s illin' with the will-man until its fall comeback.,,,
got crazy studying for the midterm.,,,
"i couldn't focus and *propname* was really annoyingly antsy, so we decided to take a walk and we both feel much better.  now shower and memo-writing time...",,,
"alone in marin...5 more pages, thanks lindow... rudy home in less than 2 days... oslo 8 days!",,,
"well, this year has to be better then the last...",,,
"got my burger, fries and a birthday cake milkshake. so happy :)",,,
very close to not having to hear about baseball again for 6 months.  can't wait,,,
"i finally went grocery shopping. picked up a small piece of raclette, not knowing what it was, because i wanted something to put on crackers. turns out it is supposed to be melted over a flame or special grill and then immediately scraped onto some kind of bread. whyyyy did i get such a difficult cheese? will just putting it right on a pan or toasting it somehow work? i guess we'll see!",,,
damn feeder valve keeps clogging.,,,
"for those of you who are just 6-7 hours away from 2010, happy new year//nuovo anno felice//nouvelle année heureuse etc., and for the rest of us, whether on the east or west coast, i hope it will be worth the wait :)",,,
snow!!! http:////www.flickr.com//photos//zmeagz//sets//72157623367337792//,,,
i think its fun to run circles around someone while they are running and even better if the get tired first!,,,
is enjoying this incredibly beautiful sky.,,,
"if your 2009 was good, i wish you an even better 2010.  if it could have been better, i wish you a great 2010.  i do not, however, wish any of you a happy new decade, since the decade ends at the end of next year",,,
wishes people could just agree on one perfect technique and have done with it!,,,
will see you all at the downtown comedy club tonight at 8pm!,,,
thinks they should add tomacco as a crop on farmville.,,,
oct 7th,,,
is prototyping gantries for butt-robots (mostly out of lego).,,,
"oh huh, this is 4th of july weekend coming up? probably not the best time to try coming up...",,,
saw district 9. so real. so good. so stressful.,,,
has no respect for anyone that doesn't understand the danger of being hit by a line drive. (ahhhh torts).,,,
"""better to write for yourself and have no public, than to write for the public and have no self."" - *propname*",,,
wonders whether professor *propname* would let him write a term paper on fanfictions using theories from the readings...,,,
having fun drawing in solitude.,,,
"one final down, two to go :)",,,
"is listening to relient k and thinking about plants, lawyers, and internships.",,,
please fill out my survey at ca *propname* survey group!,,,
"well...if my interactions and happenings of last night were any indication, 2010 may well be a pretty good year...but we'll see!  happy new year, love y'all! :d",,,
cuz lately im not dreamin so whats the point in sleepin? its just that at night i've got nowhere to hide.  --love me some jack's mannequin =],,,
got a haircut!,,,
is watching looney tunes!,,,
plis entren al grupo del eski!!!!!!! !!,,,
is going to chicago for a couple of hours and then to crivitz! :d,,,
is so sleepy it's not even funny that's she can't get to sleep.,,,
is in bed dreaming of nonbaryonic dark matter**sigh** facebook quizzes are fun,,,
"argh. 2 whole years! congratulations, *propname*! you've tolerated me for a total of 730 days! plus ""getting to know you"" time... hahaha!",,,
is nervous about getting cavities filled for the first time ever tomorrow:( the up side is that it probably isn't as bad as repair work from stepping on a shovel,) there i feel a bit better now!,,
"she said, ""you probably don't remember me,"" i said, ""only every other memory.""",,,
"is bored as hell, so interesting people must talk to me.",,,
and now for somethign completely different,,,
is tired. is trying to get energy to get out. oh boo.,,,
it's been a good birthday :-),,,
is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,,,
my new favorite word is weltanschauung :-),,,
anybody have pictures of jordan and i from todays spirit day?,,,
online finally!!!,,,
"""mom.....licorice is in the christmas tree!!!!""  'tis the sound of my season this year....guess it's part of the turf with a new kitten!",,,
"....soy un aprensivo, me sigue la enfermedad, soy un tío vivo, soy un tipo de verdad. soy caro cuando hay vicio, soy igual desde el principio y hasta el final es lo que tengo, es lo que hay, tengo una paja mental, que ya no sé de qué va....",,,
"i haven't gone to bed yet, but i'm heading that way...",,,
"has seen him twice, so it's official. *propname* lives in this building. any bets on how long it takes me to get on the robot//bear talk show?",,,
"now has lens flare, thanks *propname*.",,,
happy valentine's day!!!!,,,
"i am going to call my kids ctrl, alt and delete. then if they mess up i will just hit them all at once.",,,
to see you when i wake up is a gift i didn't think could be real,,,
gym=the hurt,,,
holiday party: this means even santa is going to drink.,,,
"go to urbandictionary.com, type in your first name, copy//paste this as your status and the definition as your first comment... and go!!",,,
any *propname* jokes?,,,
tried to shovel. it was a bad idea.,,,
"(purposefully contradicting *propname*) aghh!! the heat! *opens arms in welcoming fashion*. i mean, you all complain when it's cold and rainy, as per usual, and you complain when it's warm. consistency, people!",,,
dear facebook: please make me happy and allow me to use your application at least on the holidays... when i actually have the desire to: in other words -> fix your plugins!,,,
ooh the mysterious 10 at 10 approaches.,,,
"only engineer to rewrite history without a pen// no rfid on my mac, let the story begin....begin...begin",,,
is not happy that *propname* pulled a blaise.  i'll still go to your restaurant *propname*!,,,
tralala my car is packed and ready to go....,,,
roar,,,
i have the best adhi in the whole world...and i hate physics...,,,
"i guess this is our last goodbye | and you don't care, so i wont cry | but you'll be sorry when i'm dead | and all this guilt will be on your head | i guess you'd call it suicide | but i'm too full to swallow my pride.",,,
why does facebook think i speak dutch?,,,
mato a *propname*!,,,
"has 28 teeth left.  at this rate of loss (2//decade), she'll be toothless by age 160...not too bad.  :| <--currently cannot grin//smile",,,
once was lost but now am found. repenting my absurd arrogance.,,,
is really missing her friends from back home. she loves each and everyone of you...you know who you special people are :),,,
bye fb,,,
just had a great evening and just loved it :),,,
there is no squabbling so violent as that between people who accepted an idea yesterday and those who will accept the same idea tomorrow.,,,
yay friday!,,,
yay friday!,,,
"is still pretty much on facebook hiatus...if you message me i'll probably answer though. otherwise, most of you know where to find me!",,,
"dear bioware: dragon age is a wonderful and entertaining game, but epic fail on the load times.  at least make the wait entertaining.  instead of blood tracks on a map (or awkward elevator rides), how about a 2d hack 'n slash minigame?",,,
